date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:17	12341/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:44:17%20GMT	http://localhost:8000/	/home/utsargo/websites/locosbd/localhost_8000/index.html	(from )
11:44:17	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sat,%2023%20Sep%202017%2004:55:25%20GMT	http://localhost:8000/static/img/favicon.ico	/home/utsargo/websites/locosbd/localhost_8000/static/img/favicon.ico	(from http://localhost:8000/)
11:44:17	101595/101595	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/css/bootstrap.min.css	/home/utsargo/websites/locosbd/localhost_8000/static/css/bootstrap.min.css	(from http://localhost:8000/)
11:44:18	5570/5570	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/css/fancybox/jquery.fancybox.css	/home/utsargo/websites/locosbd/localhost_8000/static/css/fancybox/jquery.fancybox.css	(from http://localhost:8000/)
11:44:18	3813/3813	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/css/flexslider.css	/home/utsargo/websites/locosbd/localhost_8000/static/css/flexslider.css	(from http://localhost:8000/)
11:44:18	10682/10682	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/css/mezzanine.css	/home/utsargo/websites/locosbd/localhost_8000/static/css/mezzanine.css	(from http://localhost:8000/)
11:44:18	31371/31371	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/css/style.css	/home/utsargo/websites/locosbd/localhost_8000/static/css/style.css	(from http://localhost:8000/)
11:44:19	1174/1174	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Oct%202017%2008:55:38%20GMT	http://localhost:8000/static/css/custom.css	/home/utsargo/websites/locosbd/localhost_8000/static/css/custom.css	(from http://localhost:8000/)
11:44:20	9524/-1	---M--	200	added ('OK')	application/rss+xml	date:Thu,%2005%20Oct%202017%2005:26:13%20GMT	http://localhost:8000/blog/feeds/rss/	/home/utsargo/websites/locosbd/localhost_8000/blog/feeds/rss/index.html	(from http://localhost:8000/)
11:44:20	10136/-1	---M--	200	added ('OK')	application/atom+xml	date:Fri,%2006%20Oct%202017%2005:19:27%20GMT	http://localhost:8000/blog/feeds/atom/	/home/utsargo/websites/locosbd/localhost_8000/blog/feeds/atom/index.html	(from http://localhost:8000/)
11:44:20	4435/4435	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/skins/default.css	/home/utsargo/websites/locosbd/localhost_8000/static/skins/default.css	(from http://localhost:8000/)
11:44:22	2841/2841	---M--	200	added ('OK')	application/javascript	date:Sat,%2023%20Sep%202017%2004:55:25%20GMT	http://localhost:8000/static/js/bootstrap-extras.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/bootstrap-extras.js	(from http://localhost:8000/)
11:44:25	60681/60681	---M--	200	added ('OK')	application/javascript	date:Sat,%2023%20Sep%202017%2004:55:25%20GMT	http://localhost:8000/static/js/bootstrap.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/bootstrap.js	(from http://localhost:8000/)
